Object Name;Object Classification;Epoch (TDB);Orbit Axis (AU);Orbit Eccentricity;Orbit Inclination (deg);Perihelion Argument (deg);Node Longitude (deg);Mean Anomoly (deg);Perihelion Distance (AU);Aphelion Distance (AU);Orbital Period (yr);Minimum Orbit Intersection Distance (AU);Orbital Reference;Asteroid Magnitude
(2014 UT33);Apollo Asteroid;56957;14.681;0.4246;75.832;73.533;359.952;3.274.569;0.8447;2.09;1.78;0.0293;11;23.4
(2014 UU33);Apollo Asteroid;57800;1.738;0.6561;3.515;993.185;238.256;3.424.693;0.5977;2.88;2.29;0.0095;2;25.1
(2014 UV33);Amor Asteroid;57800;20.166;0.4131;88.487;3.350.807;1.157.744;2.606.607;11.836;2.85;2.86;0.2095;43;17.9
(2014 UW33);Aten Asteroid;57800;0.8356;0.4334;134.571;159.168;217.296;1.427.455;0.4734;1.2;0.76;0.0943;15;22.8
(2014 UX33);Amor Asteroid;56955;18.879;0.4377;73.005;177.001;8.916;12.902;10.615;2.71;2.59;0.0699;3;24.8
(2014 UR34);Apollo Asteroid;57800;24.895;0.5951;168.423;1.832.685;207.454;2.118.281;1.008;3.97;3.93;0.014;3;24.9
(2014 US34);Apollo Asteroid;56955;17.363;0.4827;47.811;821.875;70.052;3.405.443;0.8982;2.57;2.29;0.049;2;25.2
(2014 UT34);Amor Asteroid;57800;13.852;0.2572;135.846;1.287.237;2.208.549;1.759.951;1.029;1.74;1.63;0.0984;4;24.7
(2014 UU34);Amor Asteroid;57800;15.769;0.2833;74.609;549.619;3.591.625;487.768;11.301;2.02;1.98;0.1716;14;23.1
(2014 UV34);Apollo Asteroid;57800;10.635;0.1254;81.594;1.014.107;2.065.506;1.098.739;0.9301;1.2;1.1;0.0192;7;24.9
(2014 UX34);Apollo Asteroid;57800;17.223;0.6482;329.467;898.545;2.061.489;328.604;0.6059;2.84;2.26;0.0033;12;22.2
(2014 UF56);Apollo Asteroid;57800;21.229;0.5895;0.9348;2.272.801;2.148.329;2.574.527;0.8715;3.37;3.09;0.0002;8;27.4
(2014 UG56);Apollo Asteroid;56955;14.398;0.4529;29.784;2.854.337;252.261;332.409;0.7878;2.09;1.73;0.0195;4;25.2
(2014 UH56);Amor Asteroid;57800;19.742;0.3772;95.885;3.045.999;625.327;3.127.211;12.296;2.72;2.77;0.2714;22;20.4
(2014 UQ56);Apollo Asteroid (Hazard);57800;14.371;0.3241;399.092;1.824.089;454.339;2.977.123;0.9714;1.9;1.72;0.0371;22;19.1
(2014 UR56);Apollo Asteroid;56955;16.295;0.4467;149.517;1.139.043;209.546;264.653;0.9016;2.36;2.08;0.0646;2;25.2
(2014 US56);Apollo Asteroid;57800;1.048;0.1492;64.577;2.876.737;208.666;3.276.908;0.8916;1.2;1.07;0.0163;5;26.2
(2014 UT56);Apollo Asteroid;56958;18.105;0.4806;84.002;514.444;328.164;3.430.802;0.9404;2.68;2.44;0.039;4;26.3
(2014 UU56);Apollo Asteroid;57800;11.028;0.2625;0.3207;1.008.582;201.521;582.543;0.8133;1.39;1.16;0.0004;5;28.6
(2014 UV56);Amor Asteroid;56956;23.821;0.46;50.108;3.429.571;384.008;33.224;12.863;3.48;3.68;0.2903;2;23.6
(2014 UW56);Apollo Asteroid;56958;15.604;0.3945;58.121;1.386.845;2.092.156;198.008;0.9448;2.18;1.95;0.0093;3;28.2
(2014 UX56);Amor Asteroid;56955;16.774;0.3642;109.484;3.349.046;329.407;102.065;10.665;2.29;2.17;0.0865;2;24.8
