Object Name;Object Classification;Epoch (TDB);Orbit Axis (AU);Orbit Eccentricity;Orbit Inclination (deg);Perihelion Argument (deg);Node Longitude (deg);Mean Anomoly (deg);Perihelion Distance (AU);Aphelion Distance (AU);Orbital Period (yr);Minimum Orbit Intersection Distance (AU);Orbital Reference;Asteroid Magnitude
433 Eros;Amor Asteroid;57800;14.579;0.2226;108.277;178.805;3.043.265;3.193.111;11.335;1.78;1.76;0.1492;598;11.16
719 Albert;Amor Asteroid;57800;26.385;0.5479;115.822;1.561.409;1.839.204;2.245.535;11.928;4.08;4.29;0.2004;78;15.5
887 Alinda;Amor Asteroid;57800;24.787;0.5671;93.561;3.503.482;1.105.444;351.373;10.731;3.88;3.9;0.0925;188;13.4
1036 Ganymed;Amor Asteroid;57800;26.628;0.5338;266.929;132.469;2.155.551;92.564;12.413;4.08;4.35;0.3421;597;9.45
1221 Amor;Amor Asteroid;57800;19.191;0.4356;118.795;266.572;1.713.448;3.137.379;10.832;2.76;2.66;0.1068;70;17.7
1566 Icarus;Apollo Asteroid (Hazard);57800;10.781;0.8269;228.255;31.383;880.107;2.155.288;0.1867;1.97;1.12;0.0345;100;16.9
1580 Betulia;Amor Asteroid;57800;21.973;0.4875;520.908;1.594.852;622.921;1.919.105;1.126;3.27;3.26;0.1361;191;14.8
1620 Geographos;Apollo Asteroid (Hazard);57800;12.453;0.3353;133.375;276.893;337.208;1.041.556;0.8277;1.66;1.39;0.0307;449;15.6
1627 Ivar;Amor Asteroid;57800;18.628;0.3966;84.512;167.773;1.331.445;1.514.603;11.241;2.6;2.54;0.1124;635;13.2
1685 Toro;Apollo Asteroid;54520;13.673;0.4359;93.807;1.270.826;2.743.396;486.229;0.7713;1.96;1.6;0.0504;355;14.23
1862 Apollo;Apollo Asteroid (Hazard);55432;14.702;0.5599;63.533;2.858.625;357.319;2.757.827;0.6471;2.29;1.78;0.0256;276;16.25
1863 Antinous;Apollo Asteroid;57800;22.594;0.6062;183.989;2.679.955;3.464.862;815.233;0.8897;3.63;3.4;0.1831;156;15.54
1864 Daedalus;Apollo Asteroid;57800;1.461;0.6144;222.121;3.256.376;66.402;2.714.266;0.5634;2.36;1.77;0.2692;361;14.85
1865 Cerberus;Apollo Asteroid;57800;1.08;0.467;160.951;3.252.523;2.129.288;295.707;0.5757;1.58;1.12;0.1566;123;16.84
1866 Sisyphus;Apollo Asteroid;57800;18.936;0.5386;412.016;2.931.011;634.983;102.531;0.8737;2.91;2.61;0.1036;484;12.4
1915 Quetzalcoatl;Amor Asteroid;57800;25.444;0.5705;20.402;3.478.759;1.629.529;3.239.285;10.929;4;4.06;0.1087;10;18.97
1916 Boreas;Amor Asteroid;57800;2.272;0.4499;128.874;3.358.597;3.406.421;1.945.408;12.497;3.29;3.42;0.252;163;14.93
1917 Cuyo;Amor Asteroid;57800;21.497;0.5054;239.626;1.945.106;1.883.179;2.391.289;10.632;3.24;3.15;0.0736;316;13.9
1943 Anteros;Amor Asteroid;57800;14.305;0.256;87.059;3.383.606;2.463.344;2.169.534;10.643;1.8;1.71;0.0625;416;15.75
1980 Tezcatlipoca;Amor Asteroid;57800;17.096;0.3648;268.661;1.154.648;2.465.761;2.404.225;1.086;2.33;2.24;0.2458;330;13.92
1981 Midas;Apollo Asteroid (Hazard);57800;1.776;0.6501;398.325;267.792;3.569.033;1.731.886;0.6214;2.93;2.37;0.0036;118;15.2
2059 Baboquivari;Amor Asteroid;57800;26.513;0.5296;110.606;191.529;2.009.252;1.313.827;12.472;4.06;4.32;0.2553;107;16
2061 Anza;Amor Asteroid;57800;2.268;0.5361;37.894;1.568.609;2.074.258;1.940.698;10.522;3.48;3.42;0.0572;65;16.56
2062 Aten;Aten Asteroid;55926;0.9668;0.1827;189.337;1.480.354;1.086.004;1.722.678;0.7901;1.14;0.95;0.1131;148;16.8
2063 Bacchus;Apollo Asteroid;57800;10.779;0.3494;9.433;553.137;331.037;2.970.043;0.7014;1.45;1.12;0.0673;114;17.3
2100 Ra-Shalom;Aten Asteroid;53847;0.832;0.4365;157.558;3.559.851;1.708.843;3.201.347;0.4689;1.2;0.76;0.1494;180;16.05
2101 Adonis;Apollo Asteroid (Hazard);57800;18.741;0.7646;13.264;43.388;3.496.949;2.351.586;0.4412;3.31;2.57;0.0116;33;18.8
2102 Tantalus;Apollo Asteroid (Hazard);57800;12.902;0.2992;640.028;615.507;943.659;3.548.537;0.9042;1.68;1.47;0.0436;121;16
2135 Aristaeus;Apollo Asteroid (Hazard);57800;15.996;0.5029;230.619;2.908.781;1.912.178;2.783.233;0.7952;2.4;2.02;0.0101;18;17.94
2201 Oljato;Apollo Asteroid (Hazard);57800;2.175;0.7131;25.224;982.566;749.955;1.942.562;0.6241;3.73;3.21;0.0031;183;15.25
2202 Pele;Amor Asteroid;57800;22.894;0.5131;87.454;2.179.419;1.699.829;2.796.465;11.147;3.46;3.46;0.1434;34;17.2
2212 Hephaistos;Apollo Asteroid;57800;21.596;0.8376;115.597;2.093.465;275.622;363.423;0.3506;3.97;3.17;0.1162;377;13.87
2329 Orthos;Apollo Asteroid;57800;24.101;0.6535;244.578;1.459.951;1.693.185;3.082.354;0.8351;3.99;3.74;0.0925;126;14.6
2340 Hathor;Aten Asteroid (Hazard);53228;0.8438;0.4499;58.546;399.263;2.115.421;421.044;0.4642;1.22;0.78;0.0069;60;20.2
2368 Beltrovata;Amor Asteroid;57800;21.051;0.413;52.223;43.08;2.873.397;3.351.006;12.356;2.97;3.05;0.2342;183;15.21
2608 Seneca;Amor Asteroid;57800;25.155;0.5715;146.817;373.426;1.673.698;3.037.071;10.778;3.95;3.99;0.1309;16;17.52
3102 Krok;Amor Asteroid;57800;21.506;0.4495;84.439;1.547.783;1.720.874;868.435;11.839;3.12;3.15;0.184;129;16.2
3103 Eger;Apollo Asteroid;57800;14.042;0.3543;209.309;2.540.212;1.297.888;855.286;0.9067;1.9;1.66;0.0797;396;15.38
3122 Florence;Amor Asteroid (Hazard);57800;17.684;0.423;221.502;278.142;3.361.007;2.676.154;10.205;2.52;2.35;0.0453;357;14.1
3199 Nefertiti;Amor Asteroid;57800;15.746;0.284;329.668;533.852;3.400.225;1.221.592;11.274;2.02;1.98;0.2167;229;14.84
3200 Phaethon;Apollo Asteroid (Hazard);57800;12.712;0.8899;222.481;3.221.625;2.652.412;1.239.029;0.1399;2.4;1.43;0.0196;556;14.6
3271 Ul;Amor Asteroid;57800;21.011;0.396;250.748;1.590.898;1.588.421;1.186.002;12.691;2.93;3.05;0.2763;46;16.5
3288 Seleucus;Amor Asteroid;57800;20.329;0.4563;59.306;3.492.877;2.186.552;91.669;11.052;2.96;2.9;0.1016;283;15.3
3352 McAuliffe;Amor Asteroid;57800;18.789;0.369;47.726;159.394;1.073.759;3.565.415;11.856;2.57;2.58;0.203;233;15.8
3360 Syrinx;Apollo Asteroid;57800;24.665;0.7455;211.579;634.658;2.425.484;571.119;0.6278;4.31;3.87;0.1074;105;15.9
3361 Orpheus;Apollo Asteroid (Hazard);54630;12.094;0.3229;26.849;3.016.506;1.896.022;2.834.077;0.8189;1.6;1.33;0.0139;92;19.03
3362 Khufu;Aten Asteroid (Hazard);57800;0.9895;0.4686;99.172;550.405;152.451;762.806;0.5259;1.45;0.98;0.0137;22;18.3
3551 Verenia;Amor Asteroid;57800;20.922;0.4879;95.156;1.932.442;1.738.402;114.153;10.715;3.11;3.03;0.0738;80;16.75
3552 Don Quixote;Amor Asteroid;57800;42.574;0.7092;31.129;3.164.681;3.500.375;3.100.227;12.379;7.28;8.78;0.3327;143;12.9
3553 Mera;Amor Asteroid;57800;16.445;0.3202;367.726;288.898;2.325.351;610.983;11.179;2.17;2.11;0.2944;137;16.4
3554 Amun;Aten Asteroid;57800;0.9737;0.2805;233.621;3.594.064;358.626;2.351.222;0.7006;1.25;0.96;0.2503;253;15.82
3671 Dionysus;Apollo Asteroid (Hazard);57800;21.989;0.5411;135.311;2.042.415;820.883;52.914;10.091;3.39;3.26;0.0221;80;16.5
3691 Bede;Amor Asteroid;57800;17.743;0.2843;203.608;2.349.128;3.487.662;2.576.106;12.699;2.28;2.36;0.3513;342;14.7
3752 Camillo;Apollo Asteroid;57800;14.133;0.3017;555.586;3.122.147;1.479.761;166.632;0.987;1.84;1.68;0.0782;160;15.3
3753 Cruithne;Aten Asteroid;57800;0.9977;0.5149;198.065;438.266;1.262.368;596.651;0.484;1.51;1;0.0714;128;15.6
3757 Anagolay;Amor Asteroid (Hazard);57800;18.347;0.4455;38.679;171.578;74.971;2.632.948;10.174;2.65;2.49;0.0379;41;18.95
3838 Epona;Apollo Asteroid;57800;15.049;0.7023;292.085;496.815;2.355.098;1.709.887;0.448;2.56;1.85;0.1602;104;15.6
3908 Nyx;Amor Asteroid;53578;19.272;0.4591;21.767;1.259.784;2.616.883;997.699;10.424;2.81;2.68;0.0563;167;17.3
3988 Huma;Amor Asteroid;57800;15.445;0.3165;107.679;869.076;2.298.205;3.185.706;10.556;2.03;1.92;0.1781;121;17.9
4015 Wilson-Harrington;Apollo Asteroid (Hazard);57800;2.631;0.6306;27.884;950.341;2.670.649;2.534.346;0.972;4.29;4.27;0.0435;168;15.99
4034 Vishnu;Apollo Asteroid (Hazard);55587;10.597;0.4439;111.701;296.58;1.580.037;508.081;0.5893;1.53;1.09;0.0193;73;18.4
4055 Magellan;Amor Asteroid;57800;18.205;0.3262;232.555;1.543.557;1.648.509;2.236.604;12.266;2.41;2.46;0.2404;421;14.7
4179 Toutatis;Apollo Asteroid (Hazard);57800;25.354;0.6294;0.4472;2.787.184;1.243.715;195.825;0.9395;4.13;4.04;0.0061;499;15.3
4183 Cuno;Apollo Asteroid (Hazard);57800;19.824;0.6344;67.049;2.363.255;2.949.048;2.676.636;0.7248;3.24;2.79;0.0285;349;14.4
4197 Morpheus;Apollo Asteroid;57800;22.968;0.7716;125.774;1.224.106;71.831;2.832.534;0.5245;4.07;3.48;0.0988;89;14.6
4257 Ubasti;Apollo Asteroid;57800;16.471;0.4682;407.169;2.789.205;1.692.155;2.954.192;0.8759;2.42;2.11;0.17;141;15.9
4341 Poseidon;Apollo Asteroid;57800;18.353;0.6795;118.507;156.587;1.081.106;13.885;0.5882;3.08;2.49;0.1939;97;16
4401 Aditi;Amor Asteroid;57800;25.795;0.5648;266.499;681.528;229.039;1.879.737;11.225;4.04;4.14;0.3302;130;16
4450 Pan;Apollo Asteroid (Hazard);57800;14.423;0.5866;55.198;2.917.752;3.118.487;389.236;0.5962;2.29;1.73;0.0285;163;17.1
4486 Mithra;Apollo Asteroid (Hazard);57800;21.997;0.6628;30.393;168.867;822.436;315.289;0.7417;3.66;3.26;0.0462;181;15.6
4487 Pocahontas;Amor Asteroid;57800;17.303;0.2969;164.101;1.739.474;1.981.368;3.235.083;12.166;2.24;2.28;0.2195;116;17.4
4503 Cleobulus;Amor Asteroid;57800;27.072;0.5231;25.136;763.739;460.066;270.156;12.911;4.12;4.45;0.3107;96;15.6
4544 Xanthus;Apollo Asteroid;57800;1.042;0.2502;141.466;3.338.457;239.917;2.798.881;0.7813;1.3;1.06;0.1727;147;17.1
4581 Asclepius;Apollo Asteroid (Hazard);56805;10.224;0.357;4.919;2.553.017;1.802.984;1.945.489;0.6574;1.39;1.03;0.0036;60;20.7
4596 (1981 QB);Amor Asteroid;57800;22.396;0.5196;370.735;2.484.076;154.255;1.865.686;10.759;3.4;3.35;0.2982;61;16.4
4660 Nereus;Apollo Asteroid (Hazard);57800;14.887;0.36;14.317;1.580.288;3.144.439;1.108.313;0.9527;2.02;1.82;0.0032;101;18.2
4688 (1980 WF);Amor Asteroid;57800;2.235;0.515;63.757;2.135.669;2.413.239;2.989.296;1.084;3.39;3.34;0.1153;41;19.4
4769 Castalia;Apollo Asteroid (Hazard);57800;10.633;0.4831;88.853;1.213.626;325.583;3.267.886;0.5496;1.58;1.1;0.0206;87;16.9
4947 Ninkasi;Amor Asteroid;57800;1.37;0.1685;156.532;1.928.922;2.154.571;2.236.604;11.391;1.6;1.6;0.1504;105;18
4953 (1990 MU);Apollo Asteroid (Hazard);57800;16.211;0.6576;243.892;777.659;777.254;281.925;0.5551;2.69;2.06;0.0262;78;14.1
4954 Eric;Amor Asteroid;57800;20.021;0.4485;174.441;524.609;3.585.191;93.345;11.042;2.9;2.83;0.1968;360;12.6
4957 Brucemurray;Amor Asteroid;57800;15.655;0.2189;350.067;97.465;2.549.089;1.815.376;12.228;1.91;1.96;0.4258;78;14.9
5011 Ptah;Apollo Asteroid (Hazard);57800;16.357;0.4998;74.076;1.057.489;107.804;2.948.061;0.8181;2.45;2.09;0.0251;139;16.4
5131 (1990 BG);Apollo Asteroid;57800;14.861;0.5692;364.245;1.358.165;1.103.898;2.747.789;0.6402;2.33;1.81;0.2738;164;14.7
5143 Heracles;Apollo Asteroid;57800;18.333;0.7724;90.341;2.277.615;3.095.262;143.383;0.4173;3.25;2.48;0.0584;391;14
5189 (1990 UQ);Apollo Asteroid (Hazard);57800;15.515;0.478;35.834;1.596.391;1.353.366;2.703.701;0.8099;2.29;1.93;0.0444;82;17.9
5324 Lyapunov;Amor Asteroid;57800;29.866;0.6049;196.181;3.210.035;3.523.331;2.871.193;11.799;4.79;5.16;0.2315;37;15.5
5332 Davidaguilar;Amor Asteroid;57800;21.629;0.4567;254.745;3.058.001;1.429.225;1.927.497;11.752;3.15;3.18;0.3046;203;14.7
5370 Taranis;Amor Asteroid;57800;33.274;0.6358;191.315;1.612.773;1.778.466;3.554.417;12.118;5.44;6.07;0.2206;52;15.2
5381 Sekhmet;Aten Asteroid;57800;0.9474;0.2962;489.687;374.195;585.422;867.085;0.6668;1.23;0.92;0.1127;87;16.6
5496 (1973 NA);Apollo Asteroid;57800;24.351;0.636;679.976;1.180.152;1.010.493;1.890.581;0.8865;3.98;3.8;0.0906;51;16
5587 (1990 SB);Amor Asteroid;57800;23.975;0.5442;180.962;867.337;1.899.791;805.737;10.927;3.7;3.71;0.3078;269;13.8
5590 (1990 VA);Aten Asteroid;57800;0.9856;0.2795;141.861;344.692;2.163.036;856.943;0.7102;1.26;0.98;0.1218;15;19.7
5604 (1992 FE);Aten Asteroid (Hazard);57800;0.9288;0.4061;47.385;82.434;3.121.147;661.452;0.5516;1.31;0.9;0.0335;98;17.2
5620 Jasonwheeler;Amor Asteroid;57800;21.593;0.4222;78.704;1.537.639;1.286.968;1.422.805;12.476;3.07;3.17;0.2396;93;17
5626 (1991 FE);Amor Asteroid;57800;21.956;0.4539;38.542;2.314.296;1.732.631;719.411;1.199;3.19;3.25;0.2157;369;14.2
5645 (1990 SP);Apollo Asteroid;57800;13.549;0.3873;135.073;48.187;457.633;2.144.208;0.8301;1.88;1.58;0.0534;108;17.1
5646 (1990 TR);Amor Asteroid;57800;21.431;0.4368;79.142;3.356.807;141.357;155.771;12.071;3.08;3.14;0.2105;298;15.4
5653 Camarillo;Amor Asteroid;57800;17.942;0.3042;68.743;1.225.188;99.756;3.557.133;12.485;2.34;2.4;0.2834;241;16.1
5660 (1974 MA);Apollo Asteroid;57800;17.855;0.7621;380.679;1.269.089;3.022.911;2.813.182;0.4247;3.15;2.39;0.1612;45;15.4
5693 (1993 EA);Apollo Asteroid (Hazard);57800;12.709;0.5854;50.546;2.588.695;970.603;768.483;0.527;2.01;1.43;0.0056;235;16.6
5731 Zeus;Apollo Asteroid;57800;22.626;0.6537;114.283;2.170.207;2.816.875;779.737;0.7835;3.74;3.4;0.0714;124;15.6
5751 Zao;Amor Asteroid;57800;21.027;0.4238;160.741;252.563;1.216.848;694.145;12.116;2.99;3.05;0.2441;192;14.8
5786 Talos;Apollo Asteroid;57800;10.815;0.8268;232.319;83.524;1.613.101;3.438.139;0.1873;1.98;1.12;0.189;133;17.1
5797 Bivoj;Amor Asteroid;57800;18.935;0.4441;41.876;1.684.532;2.989.862;905.986;10.527;2.73;2.61;0.0708;56;18.8
5828 (1991 AM);Apollo Asteroid;57800;16.978;0.695;301.159;1.527.374;1.254.442;2.502.158;0.5178;2.88;2.21;0.3971;140;16
5836 (1993 MF);Amor Asteroid;57800;24.403;0.5363;79.492;779.905;2.387.792;55.665;11.315;3.75;3.81;0.1849;246;14.9
5863 Tara;Amor Asteroid;57800;22.224;0.5055;194.887;1.154.457;168.933;539.259;1.099;3.35;3.31;0.2369;196;15.8
5869 Tanith;Amor Asteroid;57800;18.121;0.3211;179.311;2.307.476;227.912;181.262;12.301;2.39;2.44;0.3108;126;17.2
5879 Almeria;Amor Asteroid;57800;16.248;0.2893;215.744;3.557.026;1.458.719;304.156;11.547;2.09;2.07;0.1678;25;17.4
6037 (1988 EG);Apollo Asteroid (Hazard);57800;12.712;0.4996;34.997;242.075;1.824.807;124.385;0.6361;1.91;1.43;0.0242;68;18.7
6047 (1991 TB1);Apollo Asteroid;57800;14.544;0.3521;234.737;103.758;61.247;109.171;0.9423;1.97;1.75;0.1403;96;17.8
6050 Miwablock;Amor Asteroid;57800;2.202;0.4371;64.051;2.850.314;881.945;2.686.759;12.394;3.16;3.27;0.269;296;14.9
6053 (1993 BW3);Apollo Asteroid;57800;21.467;0.5292;215.827;748.623;3.183.337;2.848.176;10.106;3.28;3.15;0.2212;107;14.8
6063 Jason;Apollo Asteroid;57800;22.124;0.7664;49.206;3.371.149;1.694.352;3.436.129;0.5169;3.91;3.29;0.0745;109;15.9
6178 (1986 DA);Amor Asteroid;57800;28.227;0.5818;43.052;1.273.504;646.467;191.664;11.803;4.47;4.74;0.1908;75;15.1
6239 Minos;Apollo Asteroid (Hazard);57800;11.515;0.4128;39.429;2.396.774;3.446.074;150.438;0.6762;1.63;1.24;0.0265;171;18.5
6455 (1992 HE);Apollo Asteroid;57800;22.407;0.5722;373.442;2.627.541;269.571;1.272.049;0.9586;3.52;3.35;0.2901;221;13.9
6456 Golombek;Amor Asteroid;57800;21.924;0.4095;8.226;3.471.014;3.136.263;2.050.747;12.946;3.09;3.25;0.2816;148;15.9
6489 Golevka;Apollo Asteroid (Hazard);52219;25.072;0.604;22.781;659.393;2.115.969;2.138.412;0.9928;4.02;3.97;0.0288;103;19.2
6491 (1991 OA);Amor Asteroid (Hazard);57800;25.003;0.5907;59.449;3.235.837;3.019.104;165.171;10.233;3.98;3.95;0.0426;26;18.9
6569 Ondaatje;Amor Asteroid;57800;16.262;0.2208;226.384;1.672.894;1.114.947;1.382.127;12.672;1.99;2.07;0.2555;125;16.4
6611 (1993 VW);Apollo Asteroid;57800;1.696;0.4846;86.967;2.813.535;2.309.553;1.458.619;0.8742;2.52;2.21;0.0609;227;16.9
7025 (1993 QA);Apollo Asteroid;57800;14.758;0.3149;126.068;3.233.899;1.466.432;2.754.832;1.011;1.94;1.79;0.0631;84;18.3
7088 Ishtar;Amor Asteroid;57800;1.981;0.3903;82.993;3.547.113;1.026.802;20.131;12.077;2.75;2.79;0.2251;125;16.8
7092 Cadmus;Apollo Asteroid;57800;25.344;0.6981;178.117;938.209;577.057;684.333;0.7651;4.3;4.03;0.0967;154;15.1
7236 (1987 PA);Amor Asteroid;57800;27.227;0.5595;163.346;3.378.698;3.085.344;2.134.576;11.993;4.25;4.49;0.201;38;18.3
7335 (1989 JA);Apollo Asteroid (Hazard);57800;17.706;0.4841;151.949;2.322.494;613.308;2.582.099;0.9134;2.63;2.36;0.022;73;17
7336 Saunders;Amor Asteroid;57800;23.051;0.4812;71.956;1.814.926;1.744.955;297.398;11.958;3.41;3.5;0.1919;86;18.8
7341 (1991 VK);Apollo Asteroid (Hazard);57800;18.421;0.5065;54.157;1.733.443;2.948.471;13.724;0.9091;2.78;2.5;0.0478;264;16.7
7350 (1993 VA);Apollo Asteroid;57800;1.356;0.3911;72.602;3.366.005;1.331.383;2.360.547;0.8257;1.89;1.58;0.0805;203;17.3
7358 Oze;Amor Asteroid;57800;22.002;0.5019;46.552;920.408;265.596;2.254.388;10.959;3.3;3.26;0.1256;222;14.7
7474 (1992 TC);Amor Asteroid;57800;15.658;0.2923;7.087;2.755.777;886.439;1.609.035;11.081;2.02;1.96;0.168;42;18
7480 Norwan;Amor Asteroid;57800;15.679;0.3171;9.453;2.567.689;1.244.189;1.324.449;10.708;2.06;1.96;0.1619;154;17
7482 (1994 PC1);Apollo Asteroid (Hazard);57800;13.463;0.3283;334.861;476.201;1.178.944;281.279;0.9042;1.79;1.56;0.0001;95;16.8
7753 (1988 XB);Apollo Asteroid (Hazard);57800;14.677;0.4819;31.231;2.800.831;734.291;3.433.754;0.7604;2.17;1.78;0.0066;137;18.6
7822 (1991 CS);Apollo Asteroid (Hazard);57800;11.229;0.1647;371.215;2.494.088;156.867;228.788;0.938;1.31;1.19;0.0234;190;17.4
7839 (1994 ND);Amor Asteroid;57800;21.655;0.5184;271.124;2.283.236;1.025.381;218.216;10.429;3.29;3.19;0.1372;36;17.9
7888 (1993 UC);Apollo Asteroid;57800;24.359;0.6641;260.812;3.230.749;1.659.214;179.616;0.8183;4.05;3.8;0.0889;109;15.1
7889 (1994 LX);Apollo Asteroid;57800;12.614;0.3462;369.062;3.491.434;1.112.859;1.893.783;0.8247;1.7;1.42;0.1543;242;15.2
7977 (1977 QQ5);Amor Asteroid;57800;22.255;0.4667;251.641;2.480.994;1.341.958;3.023.017;11.869;3.26;3.32;0.3558;130;15.1
8013 Gordonmoore;Amor Asteroid;57800;21.999;0.4316;75.683;146.712;1.055.725;656.183;12.503;3.15;3.26;0.2471;150;17
8014 (1990 MF);Apollo Asteroid (Hazard);57800;17.464;0.4561;18.663;1.144.013;2.102.578;1.761.982;0.9498;2.54;2.31;0.0171;56;18.7
8034 Akka;Amor Asteroid;57800;18.301;0.409;20.241;681.661;2.328.712;330.285;10.817;2.58;2.48;0.0747;92;17.9
8035 (1992 TB);Apollo Asteroid;57800;13.419;0.4624;283.081;60.498;185.643;38.724;0.7214;1.96;1.55;0.273;101;17.1
8037 (1993 HO1);Amor Asteroid;57800;19.864;0.4178;59.088;1.056.951;22.471;225.637;11.566;2.82;2.8;0.2009;141;16.4
8176 (1991 WA);Apollo Asteroid;57800;15.749;0.6429;39.598;2.418.713;665.429;3.044.533;0.5623;2.59;1.98;0.1938;104;16.9
8201 (1994 AH2);Apollo Asteroid;57800;25.381;0.707;95.549;251.056;1.641.234;236.733;0.7436;4.33;4.04;0.1017;90;15.8
8507 (1991 CB1);Apollo Asteroid;57800;16.869;0.5945;145.873;3.457.576;3.174.332;1.900.629;0.684;2.69;2.19;0.2194;59;17.2
8566 (1996 EN);Apollo Asteroid (Hazard);57800;15.064;0.4303;379.741;1.251.259;1.641.449;37.409;0.8582;2.15;1.85;0.0207;78;16.3
8567 (1996 HW1);Amor Asteroid;57800;20.452;0.4494;84.508;1.772.991;177.132;316.086;11.261;2.96;2.92;0.1223;364;15.3
8709 Kadlu;Amor Asteroid;57800;25.279;0.4894;35.159;153.559;1.192.629;2.163.205;12.908;3.76;4.02;0.2765;32;16.9
9058 (1992 JB);Apollo Asteroid;57800;15.565;0.3596;160.816;3.069.924;2.183.651;3.038.172;0.9968;2.12;1.94;0.0849;40;17.9
9162 Kwiila;Apollo Asteroid;57800;14.963;0.5954;90.145;2.356.461;1.801.415;99.025;0.6054;2.39;1.83;0.0812;71;17.9
9172 Abhramu;Amor Asteroid;57800;27.058;0.5538;78.473;740.776;2.877.128;59.073;12.073;4.2;4.45;0.2489;52;16.4
9202 (1993 PB);Apollo Asteroid;57800;14.238;0.6076;408.242;2.123.205;3.159.342;406.753;0.5588;2.29;1.7;0.3731;92;15.9
9400 (1994 TW1);Amor Asteroid;57800;25.914;0.5785;360.099;621.155;34.621;1.083.655;10.924;4.09;4.17;0.2925;195;14.9
9856 (1991 EE);Apollo Asteroid (Hazard);57800;22.423;0.6259;98.266;1.161.562;168.165;2.128.118;0.8389;3.65;3.36;0.0227;79;17.4
9950 ESA;Amor Asteroid;57800;24.376;0.5327;145.966;1.035.649;2.535.115;3.260.033;11.391;3.74;3.81;0.2809;131;16.2
10115 (1992 SK);Apollo Asteroid (Hazard);57800;12.484;0.3248;153.216;2.336.246;89.251;2.661.795;0.8429;1.65;1.39;0.046;150;17
10145 (1994 CK1);Apollo Asteroid;57800;19.001;0.6331;45.493;273.505;3.284.899;152.468;0.6972;3.1;2.62;0.0628;89;16.9
10150 (1994 PN);Amor Asteroid;57800;2.375;0.5437;45.952;2.340.362;1.130.078;336.955;10.838;3.67;3.66;0.2273;137;15.4
10165 (1995 BL2);Apollo Asteroid;57800;12.347;0.5037;238.947;3.484.331;312.451;2.401.816;0.6128;1.86;1.37;0.3749;91;17.3
10302 (1989 ML);Amor Asteroid;53667;12.725;0.1365;43.778;183.283;1.044.088;1.259.409;10.987;1.45;1.44;0.0827;84;19.3
10563 Izhdubar;Apollo Asteroid;57800;1.007;0.2664;634.626;1.322.048;565.645;2.553.046;0.7387;1.28;1.01;0.1459;64;16.8
10636 (1998 QK56);Apollo Asteroid;57800;18.841;0.5131;135.632;2.861.346;1.730.923;124.149;0.9173;2.85;2.59;0.1108;67;17.7
10860 (1995 LE);Amor Asteroid;57800;25.774;0.5744;41.499;754.319;2.572.847;695.492;1.097;4.06;4.14;0.1134;25;17.2
11054 (1991 FA);Amor Asteroid;57800;19.786;0.4474;3.077;921.098;3.392.283;162.926;10.934;2.86;2.78;0.1217;237;17
11066 Sigurd;Apollo Asteroid;57800;13.916;0.3753;368.849;219.887;349.25;1.939.794;0.8693;1.91;1.64;0.1173;183;15.2
11284 Belenus;Amor Asteroid;57800;17.402;0.3372;19.924;1.709.986;3.117.922;2.822.507;11.533;2.33;2.3;0.1693;114;18.2
11311 Peleus;Apollo Asteroid;57800;21.181;0.5355;254.669;3.133.308;593.792;2.106.328;0.9839;3.25;3.08;0.0977;55;16
11398 (1998 YP11);Amor Asteroid;57800;17.205;0.389;150.261;746.406;1.448.173;3.245.408;10.513;2.39;2.26;0.2027;205;16.3
11405 (1999 CV3);Apollo Asteroid;57800;14.596;0.3938;228.624;963.286;1.412.995;288.985;0.8847;2.03;1.76;0.1191;297;15.2
11500 Tomaiyowit;Apollo Asteroid (Hazard);57800;10.796;0.3558;103.098;2.894.572;2.344.484;23.987;0.6955;1.46;1.12;0.0345;100;18.4
11885 Summanus;Apollo Asteroid;57800;17.034;0.4746;194.198;1.160.706;3.598.896;258.093;0.8949;2.51;2.22;0.0676;44;18.5
12538 (1998 OH);Apollo Asteroid (Hazard);57800;15.415;0.4061;245.289;3.217.216;2.207.487;3.153.027;0.9155;2.17;1.91;0.0289;199;15.8
12711 Tukmit;Apollo Asteroid;57800;11.864;0.2722;384.853;3.228.641;2.949.891;3.155.032;0.8634;1.51;1.29;0.1105;163;15.8
12923 Zephyr;Apollo Asteroid (Hazard);57800;19.616;0.492;53.044;1.470.731;1.682.132;1.274.573;0.9964;2.93;2.75;0.0216;195;15.8
13553 Masaakikoyama;Amor Asteroid;57800;21.888;0.4642;58.744;1.099.152;1.935.259;2.010.809;11.727;3.21;3.24;0.1892;169;16.4
13651 (1997 BR);Apollo Asteroid (Hazard);57800;13.353;0.3056;172.477;1.337.835;116.676;2.746.006;0.9272;1.74;1.54;0.0137;106;17.6
14402 (1991 DB);Amor Asteroid;57800;17.156;0.4021;114.181;513.212;1.582.562;1.768.917;10.257;2.41;2.25;0.1025;48;18.6
14827 Hypnos;Apollo Asteroid (Hazard);57800;28.407;0.6657;19.809;2.380.942;579.774;1.656.167;0.9497;4.73;4.79;0.0148;49;18.3
15745 Yuliya;Amor Asteroid;57800;17.196;0.255;144.264;1.405.752;1.326.352;1.406.674;12.811;2.16;2.26;0.2969;112;17.3
15817 Lucianotesi;Amor Asteroid;57800;13.247;0.1182;138.728;942.674;1.625.112;3.298.238;11.681;1.48;1.52;0.2494;62;18.5
